"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.25452783819928,0.192829639654703,-6.50588696035394,7.72362907946193e-11,-1.64913989510061,-0.871975544853934
"SMRK_m2",2.5177679113112e-07,4.29955288506723e-08,5.85588310834751,4.74481872613632e-09,1.65034646024661e-07,3.40269299410509e-07
