"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.18364848890262,0.156524042827224,-7.56208737982297,3.9665176305938e-14,-1.49634268955442,-0.882562770488414
"SMRK_m2",2.34270351217001e-07,3.32633675570861e-08,7.0428933815841,1.88288306451813e-12,1.69060160164563e-07,2.99503043840969e-07
