"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",180.394793431454,235.016511501955,0.767583487128532,0.442734675822866,-277.807586065956,646.480828245088
"Datum_2",-0.00899699436631987,0.0115909793044436,-0.776206576684227,0.43762702354121,-0.0319863359861953,0.0135994254263237
"Provokovano_1",114.11448303153,142.880909900835,0.798668507295549,0.4244826523317,-158.645697510764,404.074375994888
"Datum_2:Provokovano_1",-0.00561106675229906,0.00704891847234434,-0.79601810892174,0.426021509932823,-0.0199174796961024,0.00784390533658755
