"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-0.835010062390494,0.113294587904638,-7.37025552441516,1.70301299554446e-13,-1.06849238596548,-0.60872888481038
"prob_1h_mean",6.05156812164708,0.865264275150577,6.99389573271584,2.67356287564049e-12,4.26074242153588,7.92224075039152
